最高気温(℃),平均気温(℃),降水量の合計(mm),日照時間(時間),平均風速(m/s),平均雲量(10分比),平均湿度(％),子供割合,ice1,ice2,ice3,ice4,ice5,ice6,ice7,ice8,売り上げ
10.700000000000001,6.6000000000000005,0.0,3.1,3.5,4.5,75.0,12.6,350,400,200,100,200,250,200,300,0.5732199974362242
11.600000000000001,9.299999999999999,0.0,0.8,1.9,10.0,71.0,10.8,150,200,300,100,400,300,450,250,0.5865849371116785
12.3,11.7,62.979136428606,0.0,2.6,10.0,84.0,10.8,450,100,200,200,100,200,250,150,0.40284735507011565
18.0,14.399999999999999,0.0,5.5,3.5,9.3,55.0,11.4,150,150,450,100,200,250,350,400,0.5983642059781807
10.5,5.3,0.0,10.5,5.1,0.3,51.0,11.3,350,150,300,200,150,250,300,300,0.5755985036496524
26.3,24.2,0.0,0.0,2.8,10.0,79.0,10.8,250,450,250,150,150,400,300,200,0.6246410365265316
37.4,31.7,0.0,9.4,2.5,6.3,69.0,10.9,200,450,300,450,300,150,350,300,0.6707387521867851
25.2,17.9,0.0,11.2,2.4,4.8,75.0,11.3,450,100,300,200,400,150,200,200,0.6151270116728182
33.8,29.099999999999998,19.019878265142058,7.2,4.7,4.8,77.0,11.4,300,200,250,100,200,100,100,350,0.43931581357189614
35.099999999999994,30.9,54.03094059897438,6.3,2.8,8.3,70.0,11.0,300,100,350,350,150,100,200,350,0.45295114187134566
26.0,22.2,41.81255494462047,0.3,3.8,9.5,71.0,11.9,450,200,200,450,400,150,350,100,0.4483522435659188
11.9,8.7,0.18413722493692875,5.9,3.2,6.0,65.0,11.3,200,100,350,300,350,400,200,450,0.5798245919946057
22.2,15.1,0.0,10.6,2.8,4.0,56.0,10.8,250,150,450,400,450,300,200,100,0.6220360059118244
9.100000000000001,4.3,0.0,8.4,3.2,2.0,69.0,12.6,100,150,450,250,450,150,400,200,0.5791096318694753
5.7,2.7,0.0,5.5,4.2,4.3,77.0,10.9,300,400,350,400,100,300,250,350,0.5851125285033658
12.700000000000001,8.0,0.0,7.9,2.5,5.3,61.0,11.3,200,350,150,200,350,100,200,350,0.5774106988598835
21.1,17.099999999999998,0.0,4.0,2.4,10.0,70.0,11.3,400,250,350,300,200,250,300,300,0.6196574996983961
22.2,16.3,0.0,10.5,2.3,0.5,63.0,11.4,100,400,200,250,250,150,150,300,0.5971183217711469
28.7,23.0,1.0756527418627546,10.2,2.8,5.0,69.0,10.9,400,150,300,250,200,450,400,250,0.5480952244864333
28.8,24.2,0.0,6.2,3.3,9.3,70.0,12.6,400,200,250,250,300,300,200,100,0.6210166461060694
20.0,13.899999999999999,8.01101180479664,7.3,1.7,3.8,59.0,11.3,150,400,450,200,300,100,300,150,0.4297381048069204
30.3,25.0,0.0,9.7,4.8,3.5,70.0,11.3,100,250,450,150,350,400,450,450,0.6573738125113308
24.400000000000002,18.9,0.0,2.5,3.6,9.5,76.0,11.0,400,200,400,400,250,150,200,350,0.6280389025457149
23.400000000000002,17.599999999999998,0.0,9.4,3.6,0.3,66.0,12.6,200,400,100,100,400,100,450,200,0.6054997246184657
5.1,2.4,44.28393619949312,3.7,2.0,5.5,85.0,10.9,200,400,100,400,100,150,150,200,0.3911484032405209
33.599999999999994,27.8,131.42375800815162,4.0,3.2,9.3,78.0,10.8,350,250,350,150,100,100,300,450,0.4547261552523877
3.4,2.3,0.0,0.0,1.4,10.0,89.0,11.3,450,300,400,350,350,250,450,450,0.6060660356216628
33.4,28.7,0.0,9.2,2.2,8.0,72.0,11.3,350,350,100,250,450,200,350,100,0.643895610635237
15.0,13.899999999999999,0.0,0.0,1.8,10.0,93.0,11.3,350,100,100,100,200,150,350,100,0.561667252971001
15.5,11.399999999999999,0.0,0.3,2.5,10.0,68.0,11.3,400,350,250,350,400,200,100,400,0.609690426042125
30.3,25.8,0.0,2.0,2.6,9.5,82.0,11.3,350,350,350,250,200,200,400,400,0.6504648182723247
33.5,28.5,84.1157440860562,6.4,2.9,8.0,74.0,11.0,300,100,100,350,400,300,200,400,0.4582761820144717
15.600000000000001,10.1,34.7937679523964,4.8,2.8,10.0,56.0,11.3,300,200,100,250,150,100,450,150,0.4090599019037627
29.0,24.7,0.0,9.1,2.0,4.8,71.0,11.0,450,300,300,450,350,400,250,300,0.6632634469445818
26.7,22.8,0.0,3.8,2.7,10.0,68.0,11.3,200,350,450,150,100,300,250,350,0.6252073475297288
17.7,16.3,97.24841647810898,0.0,2.1,9.5,96.0,11.0,300,150,250,450,250,250,250,150,0.42511570475955124
7.5,5.9,0.0,0.0,2.5,10.0,85.0,10.9,150,100,300,450,350,400,150,400,0.5830738088918558
14.9,8.1,0.0,10.9,2.3,0.0,46.0,11.3,400,400,400,100,450,350,250,400,0.6246410365265316
26.7,24.3,0.0,0.1,1.9,10.0,94.0,11.3,200,150,200,200,250,350,350,100,0.6077649686312545
27.7,25.3,0.0,0.0,2.2,10.0,92.0,11.0,400,400,400,300,100,200,250,200,0.6325693905712926
35.199999999999996,31.0,89.88231984020234,7.3,2.7,6.8,66.0,11.0,300,400,150,350,300,450,450,200,0.47675245766259033
23.6,20.599999999999998,0.0,0.1,3.3,9.0,83.0,12.6,450,200,400,350,400,300,100,200,0.6289450001508304
30.8,25.4,16.579554821507212,7.7,2.3,6.0,74.0,11.3,300,250,450,300,350,100,250,450,0.4635205610917137
18.400000000000002,15.1,58.47982604197178,1.9,5.1,7.5,85.0,11.3,400,150,150,350,400,350,200,150,0.4290691436536902
17.0,10.899999999999999,0.0,7.6,3.3,3.5,67.0,11.0,300,350,400,350,350,450,350,250,0.6308704575617009
35.3,30.5,0.0,10.0,2.4,10.0,68.0,10.9,400,350,300,200,350,100,450,400,0.6680204593714385
6.3,2.8,0.0,8.9,5.1,1.0,56.0,11.0,450,400,400,100,200,200,450,400,0.594626553357079
16.6,10.899999999999999,217.89157327955172,11.6,2.9,0.0,53.0,10.8,350,100,100,150,250,300,250,400,0.4193065700579594
10.700000000000001,5.1000000000000005,0.0,9.4,3.8,1.8,60.0,10.8,300,150,300,200,300,400,150,150,0.5753719792483736
11.8,7.0,0.0,4.5,2.3,8.8,69.0,10.9,450,100,200,250,300,200,400,300,0.5890767055257463
7.7,3.3,18.947883280115903,9.1,5.9,3.0,48.0,11.9,100,400,400,100,350,450,150,150,0.40744625513371463
11.8,8.4,72.02739490136155,3.0,3.2,10.0,73.0,11.3,250,300,300,350,100,250,200,250,0.4117224219753255
28.400000000000002,24.7,0.0,2.1,1.9,10.0,90.0,10.9,450,250,300,100,300,250,350,400,0.6415171044218086
21.0,17.9,0.7771248406376903,0.1,1.7,10.0,72.0,10.8,200,300,150,200,150,450,300,450,0.5438201137244751
9.8,5.1000000000000005,0.0,6.7,2.4,4.0,67.0,11.9,450,300,250,100,450,400,200,450,0.6047068892139895
13.3,8.0,0.0,10.7,4.7,1.0,47.0,12.6,200,200,250,400,450,400,300,300,0.6083312796344517
33.5,27.0,46.418849633682385,10.7,2.6,7.3,62.0,11.3,100,350,300,100,250,350,250,350,0.45464547282597667
14.5,8.2,0.0,9.0,1.3,4.8,63.0,11.9,450,150,300,350,450,150,250,450,0.6142209140677027
33.0,28.7,26.691867680348512,5.1,2.3,8.3,65.0,11.0,400,200,300,200,400,350,200,300,0.4636819045848757
27.3,21.7,124.80018999113865,9.4,2.5,3.5,64.0,11.0,100,150,100,150,400,450,250,250,0.43713738629479004
6.3,3.8,0.0,1.6,2.1,7.3,61.0,10.8,450,100,250,400,450,150,300,150,0.5779770098630809
6.8,4.5,0.0,2.5,2.6,5.3,70.0,11.3,400,250,200,400,400,200,450,450,0.6030079562043978
31.7,28.099999999999998,0.0,3.1,4.0,9.5,83.0,10.8,400,250,450,450,450,100,300,400,0.6692663435784724
6.3,2.9000000000000004,0.0,2.0,1.8,8.0,72.0,11.4,250,300,350,150,250,100,300,300,0.5642722835857081
23.400000000000002,16.4,0.0,11.7,4.2,7.3,32.0,11.9,250,300,300,250,300,200,150,100,0.6008559743922484
23.5,17.7,0.0,10.3,4.0,0.0,58.0,12.6,150,200,100,200,150,150,450,250,0.5893032299270251
10.5,5.3,0.0,9.7,4.1,3.5,50.0,11.4,250,100,200,350,350,450,200,350,0.5883971323219096
22.1,16.2,42.92268791197145,6.6,2.9,2.0,68.0,11.3,400,150,450,350,100,300,200,100,0.43350667710629515
18.900000000000002,13.299999999999999,0.0,10.0,2.1,0.0,65.0,11.3,450,150,450,400,100,250,450,250,0.6236216767207766
26.2,24.3,0.0,0.0,3.7,10.0,90.0,11.3,250,150,350,300,100,400,200,250,0.6160331092779339
9.200000000000001,9.0,175.76584948311643,0.0,2.4,10.0,97.0,11.4,450,100,350,300,150,400,300,300,0.4197099821900143
16.1,11.6,0.0,9.1,3.1,2.8,53.0,11.3,250,100,450,300,400,100,300,250,0.5989305169813779
16.7,12.0,0.0,10.0,3.3,1.3,55.0,11.9,400,350,100,100,250,200,450,250,0.5973448461724257
25.0,23.9,5.444257712487882,0.0,1.4,10.0,94.0,11.3,100,400,450,300,350,150,400,300,0.45413443643693063
8.700000000000001,4.1,17.548702021336823,10.5,5.8,0.8,52.0,11.0,300,450,350,250,300,450,300,450,0.43512033324228017
13.8,10.2,0.0,3.5,2.5,8.0,79.0,12.6,300,100,300,350,200,200,250,200,0.5761648146528497
8.4,4.0,62.60882300995985,4.5,4.9,9.8,52.0,11.3,400,400,300,350,300,450,300,150,0.4277782248311142
27.400000000000002,25.599999999999998,0.0,0.0,1.7,10.0,93.0,11.9,400,400,350,150,200,400,350,450,0.6545422574953447
18.900000000000002,13.799999999999999,49.01213370164034,2.2,1.3,7.8,71.0,11.9,200,450,100,250,200,150,450,450,0.43366804195911707
26.5,25.099999999999998,0.0,0.0,1.5,10.0,98.0,11.3,450,100,400,150,250,350,150,300,0.6252073475297288
26.0,22.2,0.0,0.3,3.8,9.5,71.0,10.9,150,350,450,450,150,400,100,200,0.6281521647463544
31.8,26.099999999999998,0.0,9.6,2.1,6.3,74.0,11.4,450,150,300,350,350,400,250,100,0.6491056718646514
28.2,25.2,0.0,0.7,4.9,7.5,70.0,10.8,250,400,400,200,350,200,300,400,0.6443486594377947
25.400000000000002,24.7,0.0,0.0,4.7,10.0,98.0,11.3,100,150,400,350,150,100,100,400,0.6028946940037584
35.4,30.9,0.0,7.9,3.4,8.3,68.0,10.8,150,100,250,200,100,350,200,250,0.6238482011220554
19.6,13.799999999999999,67.3363816977568,9.8,2.4,0.0,64.0,11.4,350,400,400,350,350,300,400,200,0.4530318242977568
35.0,30.8,23.99115351061677,12.4,3.3,3.8,53.0,12.6,200,300,200,450,300,300,400,100,0.4644887288610518
27.8,20.5,0.0,11.4,2.5,4.3,60.0,11.9,350,450,400,250,450,100,150,200,0.6386855494058226
25.7,18.099999999999998,14.867116717992753,12.7,1.8,2.0,49.0,10.8,200,150,350,450,400,350,100,150,0.44447960062463415
29.2,26.099999999999998,19.50745146326321,1.0,4.0,8.5,92.0,12.6,150,300,100,150,300,250,300,200,0.43261917148256546
12.9,6.6000000000000005,0.0,9.0,3.4,2.3,67.0,11.3,200,350,150,250,200,150,200,350,0.5749189304458159
20.2,13.1,44.47919305102245,6.8,5.3,8.0,74.0,11.3,400,300,400,200,100,350,250,350,0.43883171724942094
21.8,16.2,52.81385895763307,10.5,4.2,1.8,57.0,11.0,150,450,450,100,300,350,100,250,0.43713738629479004
30.0,25.5,0.0,2.6,2.5,10.0,66.0,11.4,250,350,450,400,450,350,450,200,0.6702857033842274
14.100000000000001,10.1,0.0,5.4,5.9,6.3,49.0,11.0,350,200,300,250,400,300,400,350,0.6095771638414856
8.8,5.2,0.0,3.9,2.0,6.5,80.0,11.9,350,450,300,150,450,100,350,350,0.5965520107679496
27.8,20.5,0.0,11.4,2.5,4.3,60.0,11.3,150,200,100,200,400,400,400,350,0.6313235063642588
27.8,24.5,10.50718142690727,0.1,3.4,10.0,94.0,11.3,150,100,300,450,100,200,350,200,0.43666201881461947
11.4,6.1000000000000005,0.0,8.1,3.9,6.8,59.0,11.3,200,150,450,450,250,300,350,150,0.5931541447487663
22.0,16.2,0.0,9.8,3.0,2.8,55.0,11.9,200,150,250,350,350,150,250,350,0.6076517064306151
21.3,15.7,0.0,5.8,3.4,7.8,65.0,11.0,350,100,250,450,100,450,400,400,0.6284919513482726
17.8,11.899999999999999,0.0,11.0,5.3,2.3,52.0,11.0,200,350,200,250,450,400,400,350,0.6233951523194977
22.8,19.599999999999998,0.0,0.0,2.2,9.3,85.0,11.0,300,350,350,400,100,250,100,200,0.6101434748446827
12.9,7.1000000000000005,19.618458010863062,5.9,3.6,2.8,65.0,11.0,150,300,100,400,150,150,400,350,0.4146269902411227
8.5,3.7,5.410192269589161,6.1,2.3,6.5,66.0,11.4,250,350,400,400,100,100,250,450,0.41840586893001463
17.7,16.3,6.527638894789264,0.0,2.1,9.5,96.0,11.0,400,450,450,450,200,200,450,150,0.44988104807994594
29.8,25.7,0.0,1.8,2.2,10.0,89.0,11.3,250,400,150,150,150,300,250,450,0.6304174087591431
17.2,14.799999999999999,0.0,0.1,2.4,9.8,66.0,10.8,350,400,450,300,450,150,450,200,0.6289450001508304
32.5,28.4,0.0,1.1,2.8,10.0,62.0,11.0,300,350,200,200,200,300,350,100,0.6325693905712926
12.9,9.1,0.0,5.8,4.7,6.5,59.0,11.3,200,450,250,300,300,450,350,100,0.6016488097967245
13.200000000000001,8.1,0.0,9.3,2.6,2.5,52.0,11.0,200,450,150,300,200,400,400,300,0.6028946940037584
28.2,26.599999999999998,0.0,0.1,2.2,10.0,82.0,11.3,250,300,400,250,200,350,200,150,0.6264532317367626
24.7,19.599999999999998,0.0,3.9,1.5,7.8,68.0,11.4,400,200,350,200,300,300,350,350,0.6337020125776871
27.7,25.4,0.0,0.0,1.5,10.0,81.0,11.4,150,400,300,350,150,450,150,350,0.6350611589853603
27.0,21.099999999999998,0.0,2.8,2.3,8.0,69.0,12.6,400,100,400,250,300,100,350,200,0.6211299083067089
25.900000000000002,20.5,0.0,0.7,3.0,10.0,82.0,11.9,350,100,100,450,400,200,350,350,0.6293980489533882
34.8,29.2,0.0,6.9,3.8,9.3,73.0,11.0,450,200,250,350,200,200,200,450,0.6538626842915081
19.6,14.5,0.0,5.6,1.5,5.3,60.0,10.8,300,450,200,350,300,150,150,350,0.6119556700549138
21.5,15.6,0.0,9.0,2.7,9.0,56.0,11.3,450,350,100,250,450,200,400,100,0.6203370729022326
30.0,24.099999999999998,0.0,10.0,3.2,9.5,64.0,11.9,450,400,300,200,150,200,250,400,0.6440088728358765
12.4,5.7,0.0,9.7,2.3,0.8,54.0,10.9,150,450,250,450,250,200,100,250,0.5868114615129574
29.900000000000002,25.099999999999998,0.0,11.2,5.0,0.0,55.0,11.4,300,450,450,450,200,250,300,450,0.6688132947759147
26.1,23.9,0.0,0.0,1.3,10.0,92.0,11.3,250,150,450,350,300,450,400,450,0.6554483551004602
35.5,30.599999999999998,39.44896781605174,12.0,3.6,2.8,57.0,11.3,300,450,200,100,250,150,450,400,0.46795807318379146
8.0,3.0999999999999996,0.0,4.9,6.1,9.5,75.0,11.3,250,250,200,300,350,300,200,200,0.568576247210007
22.2,17.8,0.0,6.1,2.0,7.5,64.0,10.9,200,250,350,400,200,200,150,450,0.6167126824817705
18.900000000000002,12.899999999999999,19.17724593090501,9.3,4.4,5.0,56.0,10.9,150,100,150,350,200,350,450,400,0.431328253072947
21.6,18.0,25.554770298916544,0.1,2.1,10.0,64.0,12.6,200,300,200,400,450,250,200,300,0.4397192239425054
31.3,27.099999999999998,0.0,0.9,2.7,9.8,85.0,11.0,150,400,100,300,250,200,200,150,0.6181850910900832
31.900000000000002,26.7,11.599922537448142,4.8,2.1,10.0,83.0,11.0,200,150,400,100,350,250,400,350,0.45674627674029505
12.9,9.1,0.0,5.8,4.7,6.5,59.0,11.0,300,200,300,200,350,200,350,250,0.5890767055257463
32.1,25.7,4.195153268176603,12.9,3.8,4.8,57.0,11.0,350,250,250,250,350,250,450,450,0.4763979184308626
8.5,4.1,0.0,6.0,4.2,5.3,59.0,11.4,200,150,200,350,250,150,200,350,0.5626866127767559
15.0,9.5,0.0,6.6,1.8,8.8,54.0,10.9,400,400,200,250,350,300,150,400,0.6092373772395673
22.8,15.299999999999999,0.0,11.3,3.3,3.3,53.0,11.9,200,400,450,100,200,250,400,400,0.6278123781444359
28.1,22.9,0.0,6.7,2.2,3.8,68.0,11.0,400,450,150,400,200,100,250,300,0.6346081101828026
13.600000000000001,8.4,0.0,4.2,2.8,5.0,51.0,11.3,100,200,150,350,450,200,200,400,0.5863584127103997
19.3,14.399999999999999,0.0,10.4,5.3,4.8,54.0,11.3,300,200,400,150,150,450,150,200,0.5990437791820173
31.0,26.3,0.0,8.2,2.7,9.5,70.0,11.4,450,100,150,400,400,150,450,400,0.6552218306991814
30.5,26.0,0.0,9.2,3.1,9.8,67.0,11.0,150,450,200,350,250,400,100,150,0.6322296039693743
17.8,15.1,34.44850570053931,9.7,5.0,1.5,57.0,11.0,300,300,200,200,250,400,250,250,0.4290691436536906
10.700000000000001,5.1000000000000005,77.26405992325621,9.4,3.8,1.8,60.0,11.9,200,450,250,200,400,100,450,450,0.42858504909522416
25.900000000000002,17.599999999999998,0.0,11.5,2.3,4.5,51.0,10.9,450,300,400,100,450,450,350,100,0.6458210680461076
10.100000000000001,6.9,0.0,9.8,6.2,0.5,59.0,11.3,400,350,100,300,300,200,400,300,0.5905491141340591
12.5,6.6000000000000005,0.0,7.2,5.5,4.5,62.0,10.8,100,400,200,200,200,350,100,450,0.5811483514809853
33.9,29.599999999999998,0.0,7.1,2.7,9.3,70.0,10.8,100,200,400,300,400,100,300,150,0.6363070431923943
19.1,17.2,0.0,0.0,2.5,10.0,97.0,11.3,450,100,200,100,300,200,350,100,0.5888501811244674
15.8,11.2,0.0,3.5,3.1,7.8,64.0,11.3,400,450,350,350,250,350,200,350,0.6228288413163005
11.100000000000001,6.9,0.0,9.3,3.2,0.3,51.0,11.0,150,300,200,250,250,300,250,400,0.5831870710924952
29.2,22.8,0.0,11.6,3.2,5.5,42.0,10.9,100,400,100,150,450,300,400,250,0.6334754881764082
26.400000000000002,22.8,0.0,0.8,2.1,10.0,85.0,11.3,150,150,300,450,200,100,250,250,0.609690426042125
15.8,11.1,0.0,1.7,5.5,7.5,67.0,10.8,100,100,300,400,100,400,350,100,0.5822809734873796
21.400000000000002,15.6,75.88992629581823,7.3,2.8,5.5,55.0,11.0,150,350,300,400,300,350,250,400,0.4470613247433428
19.7,16.6,0.0,0.0,3.1,6.8,81.0,11.0,150,300,300,450,200,150,450,200,0.6093506394402067
29.7,25.7,0.0,6.1,1.9,10.0,60.0,10.8,250,450,450,400,300,150,250,350,0.6549953062979025
22.8,15.5,7.5164694879549545,10.4,2.1,0.0,49.0,10.8,100,450,150,250,100,350,300,100,0.4276254369214423
20.400000000000002,15.6,0.0,6.9,4.4,6.8,62.0,10.9,150,400,150,100,200,200,300,250,0.5907756385353379
25.0,20.5,0.0,8.5,3.9,4.5,52.0,11.3,150,350,450,250,350,150,200,250,0.6213564327079877
21.5,20.4,0.0,0.0,3.9,10.0,99.0,11.3,200,300,200,250,100,450,250,250,0.6042538404114317
34.099999999999994,29.7,0.0,7.0,2.8,7.0,68.0,11.4,150,150,300,200,200,150,300,250,0.6226023169150215
11.4,7.6000000000000005,59.89551216259417,8.7,3.4,2.8,69.0,11.0,150,400,250,450,200,200,350,150,0.4176122391033284
36.099999999999994,29.3,0.0,8.9,2.5,7.5,67.0,11.9,350,250,100,250,450,250,300,150,0.646727165651223
9.600000000000001,5.2,0.0,7.5,3.1,5.3,71.0,11.3,250,200,250,400,400,350,300,200,0.5906623763346984
14.100000000000001,10.899999999999999,5.309730290302634,9.8,6.4,3.3,52.0,10.8,200,300,150,300,150,350,250,300,0.4172533170911717
28.400000000000002,21.8,69.88508237484862,3.0,2.7,8.5,80.0,10.9,450,350,300,200,350,200,100,350,0.45262841216570177
19.5,15.299999999999999,68.94937436980021,10.1,4.2,0.3,49.0,10.9,250,150,300,200,200,100,400,150,0.41954861733719234
33.599999999999994,27.8,0.0,4.0,3.2,9.3,78.0,11.9,400,450,200,200,250,150,100,150,0.6296245733546671
25.5,20.4,0.0,10.5,2.8,4.3,70.0,11.0,450,300,100,150,150,200,450,300,0.6216962193099059
30.5,25.599999999999998,0.0,7.8,2.1,3.0,74.0,11.3,450,400,100,150,150,350,100,400,0.6340417991796053
27.900000000000002,25.2,109.35836031430745,0.1,2.1,10.0,92.0,11.3,200,100,400,350,300,400,200,350,0.45222500003364674
14.600000000000001,8.799999999999999,0.0,9.8,3.0,0.0,57.0,11.0,250,400,250,200,300,400,300,200,0.6014222853954456
10.5,8.4,0.0,0.0,1.9,10.0,64.0,11.3,450,100,150,400,250,200,100,450,0.5810350892803458
28.7,21.3,0.0,12.5,2.9,5.0,39.0,12.6,250,300,350,250,400,200,400,250,0.642876250829482
22.0,16.2,0.0,8.7,1.7,5.5,63.0,10.8,400,400,200,300,150,450,250,250,0.6254338719310077
22.7,16.8,0.0,6.6,2.7,7.5,61.0,11.0,250,350,250,450,250,400,200,100,0.6196574996983961
12.200000000000001,6.1000000000000005,10.651965146531317,7.3,2.3,5.0,66.0,12.6,350,100,450,350,100,300,200,450,0.4234286957652379
7.8,4.5,0.0,2.9,2.3,5.0,72.0,11.0,150,400,150,350,400,100,150,400,0.5744658816432581
11.3,6.5,0.0,4.7,3.9,9.3,71.0,11.4,150,450,450,350,350,250,400,100,0.6023283830005612
16.6,11.799999999999999,0.0,5.0,3.3,7.8,66.0,11.0,200,400,300,100,350,400,250,100,0.5970050595705073
31.1,25.2,0.0,7.0,2.8,7.8,79.0,11.0,150,400,350,200,100,400,450,350,0.6494454584665698
5.3,2.2,37.08909782303298,2.8,4.2,9.5,84.0,11.3,400,450,250,200,350,200,250,150,0.40849512491888557
23.400000000000002,18.4,0.0,0.8,2.8,10.0,78.0,11.3,450,400,300,400,400,100,100,100,0.6212431705073482
33.4,29.7,0.0,5.4,2.7,9.3,80.0,10.9,300,250,400,150,300,300,300,250,0.6475200010556992
27.0,23.0,0.0,8.0,1.9,4.0,75.0,11.0,400,350,100,400,300,200,450,400,0.648992409664012
8.9,6.0,0.0,1.1,1.8,9.3,74.0,11.9,150,250,450,450,100,400,350,450,0.6016488097967245
16.5,12.2,0.0,8.1,3.8,1.0,63.0,11.9,400,250,400,200,350,450,450,350,0.6347213723834421
36.3,32.5,50.822790635510636,9.0,3.3,8.0,64.0,10.8,300,250,250,150,300,150,150,450,0.4590830062785816
31.7,26.2,39.687958303990726,11.2,2.2,4.8,68.0,11.3,250,450,250,300,200,350,150,450,0.4638432694368305
